term	flynn	franco	gonzalez	green	mummucari	scialo	total	present
regionalization	3	4	1	0	0	3	11	4
skeletal_muscle_tissue_development	0	1	4	0	2	2	9	4
detection_of_UV	0	0	1	2	4	2	9	4
regulation_of_cellular_response_to_stress	1	0	1	2	0	4	8	4
protein_insertion_into_mitochondrial_membrane	0	1	2	2	3	0	8	4
skeletal_muscle_tissue_growth	0	1	4	0	1	2	8	4
skeletal_muscle_tissue_regeneration	0	1	4	0	1	2	8	4
protein_kinase_CK2_regulator_activity	0	0	3	2	2	1	8	4
protein_kinase_regulator_activity	0	0	3	2	2	1	8	4
regulation_of_mitochondrial_membrane_permeability	0	0	4	2	1	1	8	4
regulation_of_protein_kinase_activity	0	0	3	2	2	1	8	4
regulation_of_protein_kinase_C_activity	0	0	3	2	2	1	8	4
regulation_of_signaling	0	0	2	1	3	2	8	4
protein_processing	0	2	1	1	3	0	7	4
protein_import_into_mitochondrial_matrix	0	0	3	2	1	1	7	4
localization_of_cell	2	2	0	0	1	1	6	4
oxygen_transport	0	0	1	1	2	2	6	4
protein_targeting	0	0	2	1	2	1	6	4
protein_targeting_to_ER	0	0	2	1	2	1	6	4
response_to_protein	0	0	3	1	1	1	6	4
behavior	1	0	1	1	0	2	5	4
regulation_of_cell_cycle_process	0	1	2	0	1	1	5	4
protein_import	0	0	2	1	1	1	5	4
cell_development	1	1	0	0	1	1	4	4
G1_phase	1	1	1	0	1	0	4	4
G2_phase	1	1	1	0	1	0	4	4
M_phase	1	1	1	0	1	0	4	4
positive_regulation_of_gene_expression	1	0	1	1	1	0	4	4
protein_repair	1	0	1	0	1	1	4	4
R7_cell_development	1	1	0	0	1	1	4	4
R8_cell_development	1	1	0	0	1	1	4	4
S_phase	1	1	1	0	1	0	4	4
mitochondrial_outer_membrane_permeabilization_involved_in_programmed_cell_death	0	1	0	0	0	0	1	4
regulation_of_activation_induced_cell_death_of_T_cells	0	19	0	5	17	0	41	3
cognition	29	1	1	0	0	0	31	3
activated_T_cell_autonomous_cell_death	0	10	0	3	3	0	16	3
apoptosis_activator_activity	0	5	0	0	9	2	16	3
regulation_of_programmed_cell_death	0	9	0	3	4	0	16	3
CD40_signaling_pathway	0	0	8	0	5	2	15	3
programmed_necrotic_cell_death	0	7	0	4	3	0	14	3
protein_import_into_mitochondrial_outer_membrane	0	6	0	5	3	0	14	3
developmental_programmed_cell_death	0	8	0	3	2	0	13	3
necrosis	0	6	0	3	3	0	12	3
programmed_cell_death	0	8	0	2	2	0	12	3
retinal_cell_programmed_cell_death	0	8	0	2	2	0	12	3
regulation_of_response_to_oxidative_stress	4	0	0	0	4	2	10	3
regulation_of_necrotic_cell_death	0	4	0	3	3	0	10	3
kinase_activator_activity	0	0	6	2	1	0	9	3
kinase_activity	0	0	6	2	1	0	9	3
"mitochondrial_electron_transport,_cytochrome_c_to_oxygen"	0	0	4	0	2	3	9	3
respiratory_chain_complex_II_assembly	1	3	4	0	0	0	8	3
respiratory_chain_complex_IV_assembly	1	3	4	0	0	0	8	3
regulation_of_fatty_acid_oxidation	0	1	3	0	0	4	8	3
regulation_of_release_of_cytochrome_c_from_mitochondria	0	4	1	0	3	0	8	3
release_of_cytochrome_c_from_mitochondria	0	4	0	0	3	1	8	3
transcription_activator_activity	0	1	2	0	5	0	8	3
antioxidant_activity	2	0	1	0	0	4	7	3
AT_binding	0	1	0	2	4	0	7	3
binding	0	1	0	2	4	0	7	3
cytochrome_P450_activity	0	5	0	0	1	1	7	3
FK506_binding	0	1	0	2	4	0	7	3
KU70_binding	0	1	0	2	4	0	7	3
mitochondrial_translocation	0	2	2	0	3	0	7	3
p53_binding	0	1	0	2	4	0	7	3
protein_localization_to_outer_membrane	0	2	0	2	3	0	7	3
cellular_response_to_cation_stress	0	0	1	2	0	4	7	3
cellular_response_to_immobilization_stress	0	0	1	2	0	4	7	3
cellular_response_to_isolation_stress	0	0	1	2	0	4	7	3
cellular_response_to_nitrosative_stress	0	0	1	2	0	4	7	3
cellular_response_to_osmotic_stress	0	0	1	2	0	4	7	3
cellular_response_to_salt_stress	0	0	1	2	0	4	7	3
cellular_response_to_stress	0	0	1	2	0	4	7	3
cellular_stress_response_to_acidic_pH	0	0	1	2	0	4	7	3
priming_of_cellular_response_to_stress	0	0	1	2	0	4	7	3
DNA_repair	2	0	0	0	1	3	6	3
response_to_oxidative_stress	1	0	0	0	3	2	6	3
translation	3	1	2	0	0	0	6	3
energy_homeostasis	0	2	3	0	0	1	6	3
negative_regulation_of_cell_death	0	3	0	1	2	0	6	3
positive_regulation_of_cell_death	0	3	0	1	2	0	6	3
regulation_of_cell_death	0	3	0	1	2	0	6	3
insulin	0	0	3	0	2	1	6	3
secretion	2	0	0	2	0	1	5	3
B_1_B_cell_homeostasis	0	2	0	0	2	1	5	3
B_cell_homeostasis	0	2	0	0	2	1	5	3
T_cell_homeostasis	0	2	0	0	2	1	5	3
exogen	1	1	0	0	0	2	4	3
B_cell_selection	0	2	0	1	1	0	4	3
"DNA_damage_response,_detection_of_DNA_damage"	0	1	0	2	1	0	4	3
F_9775A_metabolic_process	0	2	1	0	0	1	4	3
F_9775B_metabolic_process	0	2	1	0	0	1	4	3
F420_0_metabolic_process	0	2	1	0	0	1	4	3
intrinsic_apoptotic_signaling_pathway	0	1	0	1	2	0	4	3
metabolic_process	0	2	1	0	0	1	4	3
necrotic_cell_death	0	1	0	2	1	0	4	3
negative_regulation_of_energy_homeostasis	0	2	1	0	0	1	4	3
positive_regulation_of_energy_homeostasis	0	2	1	0	0	1	4	3
regulation_of_energy_homeostasis	0	2	1	0	0	1	4	3
regulation_of_lipid_metabolic_process	0	2	1	0	0	1	4	3
regulation_of_protein_metabolic_process	0	1	0	0	2	1	4	3
T_cell_selection	0	2	0	1	1	0	4	3
B_1_B_cell_proliferation	0	0	1	1	0	2	4	3
B_cell_proliferation	0	0	1	1	0	2	4	3
cell_proliferation	0	0	1	1	0	2	4	3
DNA_transport	0	0	2	1	0	1	4	3
NK_T_cell_proliferation	0	0	1	1	0	2	4	3
regulator_of_G_protein_signaling_activity	0	0	1	1	0	2	4	3
skeletal_muscle_cell_differentiation	0	0	1	0	1	2	4	3
T_cell_proliferation	0	0	1	1	0	2	4	3
immune_response	0	0	0	2	1	1	4	3
oxidative_phosphorylation_uncoupler_activity	1	1	0	0	1	0	3	3
protein_phosphorylation	1	1	1	0	0	0	3	3
regulation_of_central_B_cell_anergy	1	1	0	0	0	1	3	3
regulation_of_central_B_cell_deletion	1	1	0	0	0	1	3	3
small_protein_activating_enzyme_activity	1	1	0	0	0	1	3	3
activating_transcription_factor_binding	0	1	1	0	1	0	3	3
cell_cycle_regulator	0	1	0	0	1	1	3	3
endoplasmic_reticulum_receptor_activity	0	1	0	1	1	0	3	3
ER_body_organization	0	1	1	1	0	0	3	3
negative_regulation_of_cell_cycle	0	1	0	0	1	1	3	3
negative_regulation_of_transcription_regulator_activity	0	1	1	0	1	0	3	3
positive_regulation_of_cell_cycle	0	1	0	0	1	1	3	3
positive_regulation_of_transcription_regulator_activity	0	1	1	0	1	0	3	3
protein_lipid_complex_assembly	0	1	1	1	0	0	3	3
protein_lipid_complex_binding	0	1	1	1	0	0	3	3
protein_lipid_complex_disassembly	0	1	1	1	0	0	3	3
protein_lipid_complex_remodeling	0	1	1	1	0	0	3	3
receptor_associated_protein_activity	0	1	1	1	0	0	3	3
regulation_of_calcium_mediated_signaling	0	1	1	0	1	0	3	3
regulation_of_cell_cycle	0	1	0	0	1	1	3	3
regulation_of_cell_cycle_arrest	0	1	0	0	1	1	3	3
regulation_of_cell_cycle_checkpoint	0	1	0	0	1	1	3	3
regulation_of_meiotic_cell_cycle	0	1	0	0	1	1	3	3
regulation_of_mitotic_cell_cycle	0	1	0	0	1	1	3	3
regulation_of_phosphorylation	0	1	1	0	1	0	3	3
regulation_of_protein_targeting_to_mitochondrion	0	1	0	0	1	1	3	3
regulation_of_transcription_regulator_activity	0	1	1	0	1	0	3	3
transcription_elongation_regulator_activity	0	1	1	0	1	0	3	3
transcription_factor_binding_transcription_factor_activity	0	1	1	0	1	0	3	3
transcription_factor_recruiting_transcription_factor_activity	0	1	1	0	1	0	3	3
transcription_initiation_factor_activity	0	1	1	0	1	0	3	3
transcription_regulator_activity	0	1	1	0	1	0	3	3
transcription_termination_factor_activity	0	1	1	0	1	0	3	3
circadian_regulation_of_gene_expression	0	0	1	1	1	0	3	3
defense_response	0	0	1	1	0	1	3	3
negative_regulation_of_gene_expression	0	0	1	1	1	0	3	3
posttranscriptional_regulation_of_gene_expression	0	0	1	1	1	0	3	3
protease_IV_activity	0	0	1	1	1	0	3	3
proteasome_activator_activity	0	0	1	0	1	1	3	3
protein_stabilization	0	0	1	0	1	1	3	3
regulation_of_gene_expression	0	0	1	1	1	0	3	3
"regulation_of_gene_expression,_epigenetic"	0	0	1	1	1	0	3	3
regulation_of_histone_gene_expression	0	0	1	1	1	0	3	3
regulation_of_rhodopsin_gene_expression	0	0	1	1	1	0	3	3
regulation_of_protein_kinase_A_signaling	0	0	0	1	1	1	3	3
regulation_of_protein_kinase_B_signaling	0	0	0	1	1	1	3	3
regulation_of_protein_kinase_C_signaling	0	0	0	1	1	1	3	3
regulation_of_protein_kinase_D_signaling	0	0	0	1	1	1	3	3
neuron_death	9	5	0	0	0	0	14	2
"fatty_acid_elongation,_unsaturated_fatty_acid"	0	0	5	0	0	7	12	2
regulation_of_calcium_in_ER	0	7	0	0	4	0	11	2
autophagic_cell_death	0	1	0	0	9	0	10	2
neuroprotection	4	5	0	0	0	0	9	2
oxygen_and_reactive_oxygen_species_metabolic_process	3	0	6	0	0	0	9	2
reactive_oxygen_species_metabolic_process	3	0	6	0	0	0	9	2
muscle_atrophy	0	0	5	0	4	0	9	2
mitochondrial_respiratory_chain_complex_assembly	2	0	6	0	0	0	8	2
mitochondrial_respiratory_chain_complex_I_assembly	2	0	6	0	0	0	8	2
mitochondrial_respiratory_chain_complex_II_assembly	2	0	6	0	0	0	8	2
mitochondrial_respiratory_chain_complex_IV_assembly	2	0	6	0	0	0	8	2
regulation_of_cellular_response_to_oxidative_stress	5	0	0	0	0	3	8	2
fatty_acid_alpha_oxidation	0	0	4	0	0	4	8	2
fatty_acid_omega_oxidation	0	0	4	0	0	4	8	2
fatty_acid_oxidation	0	0	4	0	0	4	8	2
"mitochondrial_electron_transport,_ubiquinol_to_cytochrome_c"	0	0	4	0	0	4	8	2
regulation_of_superoxide_dismutase_activity	5	0	0	0	0	2	7	2
protein_import_into_mitochondrial_inner_membrane	0	0	6	1	0	0	7	2
tumor_suppressor	0	0	2	0	5	0	7	2
superoxide_dismutase_activity	4	0	0	0	0	2	6	2
fatty_acid_beta_oxidation	0	0	2	0	0	4	6	2
mitochondrial_respiratory_chain_complex_I_biogenesis	2	0	3	0	0	0	5	2
mitochondrial_respiratory_chain_complex_II_biogenesis	2	0	3	0	0	0	5	2
mitochondrial_respiratory_chain_complex_IV_biogenesis	2	0	3	0	0	0	5	2
neuron_development	3	2	0	0	0	0	5	2
regulation_of_IP_10_production	0	3	0	0	0	2	5	2
activation_of_protein_histidine_kinase_activity	0	0	3	2	0	0	5	2
activation_of_protein_kinase_A_activity	0	0	3	2	0	0	5	2
activation_of_protein_kinase_activity	0	0	3	2	0	0	5	2
activation_of_protein_kinase_B_activity	0	0	3	2	0	0	5	2
activation_of_protein_kinase_C_activity	0	0	3	2	0	0	5	2
AMP_thymidine_kinase_activity	0	0	4	1	0	0	5	2
"fatty_acid_elongation,_polyunsaturated_fatty_acid"	0	0	1	0	0	4	5	2
protein_arginine_kinase_activity	0	0	3	2	0	0	5	2
protein_histidine_kinase_activity	0	0	3	2	0	0	5	2
protein_kinase_A_anchoring_activity	0	0	3	2	0	0	5	2
protein_kinase_activator_activity	0	0	3	2	0	0	5	2
protein_kinase_activity	0	0	3	2	0	0	5	2
protein_kinase_C_activity	0	0	3	2	0	0	5	2
protein_kinase_C_inhibitor_activity	0	0	3	2	0	0	5	2
protein_kinase_CK2_activity	0	0	3	2	0	0	5	2
protein_kinase_inhibitor_activity	0	0	3	2	0	0	5	2
protein_serine/threonine_kinase_activator_activity	0	0	3	2	0	0	5	2
protein_serine/threonine_kinase_activity	0	0	3	2	0	0	5	2
protein_serine/threonine/tyrosine_kinase_activity	0	0	3	2	0	0	5	2
protein_tyrosine_kinase_activator_activity	0	0	3	2	0	0	5	2
protein_tyrosine_kinase_activity	0	0	3	2	0	0	5	2
ribosomal_protein_S6_kinase_activity	0	0	3	2	0	0	5	2
tau_protein_kinase_activity	0	0	3	2	0	0	5	2
conjugation	0	0	0	4	1	0	5	2
membrane_fusion	0	3	0	1	0	0	4	2
mitochondrial_calcium_ion_homeostasis	0	3	1	0	0	0	4	2
organelle_fusion	0	2	0	2	0	0	4	2
regulation_of_cellular_metabolic_process	0	2	0	0	0	2	4	2
regulation_of_transcription_from_mitochondrial_promoter	0	3	1	0	0	0	4	2
AMP_activated_protein_kinase_activity	0	0	3	1	0	0	4	2
cellular_response_to_nutrient_levels	0	0	3	1	0	0	4	2
cellular_response_to_oxygen_levels	0	0	3	1	0	0	4	2
"fatty_acid_beta_oxidation,_unsaturated,_even_number"	0	0	3	0	0	1	4	2
"fatty_acid_beta_oxidation,_unsaturated,_odd_number"	0	0	3	0	0	1	4	2
regulation_of_B_cell_apoptotic_process	0	0	1	0	3	0	4	2
regulation_of_T_cell_apoptotic_process	0	0	1	0	3	0	4	2
skeletal_muscle_organ_development	0	0	2	0	2	0	4	2
B_cell_deletion	0	0	0	0	1	3	4	2
regulation_of_NAD+_kinase_activity	0	0	0	0	1	3	4	2
tissue_death	2	0	0	1	0	0	3	2
activation_of_caspase_activity_by_protein_phosphorylation	0	1	0	2	0	0	3	2
calcium_channel_regulator_activity	0	2	0	0	1	0	3	2
calcium_induced_calcium_release_activity	0	2	0	0	1	0	3	2
endoplasmic_reticulum_membrane_fusion	0	2	0	1	0	0	3	2
extrinsic_apoptotic_signaling_pathway	0	1	0	0	2	0	3	2
membrane_fission	0	2	0	1	0	0	3	2
mitochondrial_membrane_fusion	0	2	0	1	0	0	3	2
neuronal_stem_cell_division	0	2	0	1	0	0	3	2
neuronal_stem_cell_maintenance	0	2	0	1	0	0	3	2
regulation_of_cellular_protein_metabolic_process	0	1	0	0	0	2	3	2
response_to_ATP	0	1	0	0	2	0	3	2
adenosine_kinase_activity	0	0	2	1	0	0	3	2
fatty_acid_metabolic_process	0	0	1	0	0	2	3	2
regulation_of_apoptotic_signaling_pathway	0	0	1	0	2	0	3	2
regulation_of_G0_to_G1_transition	0	0	2	0	0	1	3	2
regulation_of_G1_to_G0_transition	0	0	2	0	0	1	3	2
regulation_of_mitochondrial_DNA_replication	0	0	2	0	0	1	3	2
regulation_of_protein_modification_process	0	0	1	0	2	0	3	2
protein_ubiquitination	0	0	0	2	1	0	3	2
skeletal_muscle_cell_proliferation	0	0	0	0	1	2	3	2
cellular_localization	1	0	0	0	0	1	2	2
DNA_repair_protein	1	0	0	0	1	0	2	2
myelination_in_peripheral_nervous_system	1	0	1	0	0	0	2	2
negative_regulation_of_oxidative_stress_induced_cell_death	1	1	0	0	0	0	2	2
peripheral_nervous_system_development	1	0	1	0	0	0	2	2
positive_regulation_of_oxidative_stress_induced_cell_death	1	1	0	0	0	0	2	2
regulation_of_activated_T_cell_proliferation	1	1	0	0	0	0	2	2
regulation_of_direction_of_cell_growth	1	1	0	0	0	0	2	2
regulation_of_localization	1	0	0	0	1	0	2	2
regulation_of_oxidative_stress_induced_cell_death	1	1	0	0	0	0	2	2
secretion_by_tissue	1	0	0	1	0	0	2	2
transporter_activity	1	0	0	1	0	0	2	2
calcium_activated_cation_channel_activity	0	1	0	0	1	0	2	2
calcium_activated_potassium_channel_activity	0	1	0	0	1	0	2	2
calcium_channel_activity	0	1	0	0	1	0	2	2
calcium_channel_inhibitor_activity	0	1	0	0	1	0	2	2
CD27_receptor_activity	0	1	1	0	0	0	2	2
CD40_receptor_activity	0	1	1	0	0	0	2	2
cell_aggregation	0	1	0	0	1	0	2	2
cell_division	0	1	1	0	0	0	2	2
cellular_alcohol_metabolic_process	0	1	0	0	0	1	2	2
cellular_aldehyde_metabolic_process	0	1	0	0	0	1	2	2
cellular_alkane_metabolic_process	0	1	0	0	0	1	2	2
cellular_alkene_metabolic_process	0	1	0	0	0	1	2	2
cellular_alkyne_metabolic_process	0	1	0	0	0	1	2	2
cellular_amide_metabolic_process	0	1	0	0	0	1	2	2
cellular_amine_metabolic_process	0	1	0	0	0	1	2	2
cellular_carbohydrate_metabolic_process	0	1	0	0	0	1	2	2
cellular_glucan_metabolic_process	0	1	0	0	0	1	2	2
cellular_hormone_metabolic_process	0	1	0	0	0	1	2	2
cellular_ketone_metabolic_process	0	1	0	0	0	1	2	2
cellular_lactam_metabolic_process	0	1	0	0	0	1	2	2
cellular_lipid_metabolic_process	0	1	0	0	0	1	2	2
cellular_macromolecule_metabolic_process	0	1	0	0	0	1	2	2
cellular_metabolic_process	0	1	0	0	0	1	2	2
cellular_oligosaccharide_metabolic_process	0	1	0	0	0	1	2	2
cellular_organofluorine_metabolic_process	0	1	0	0	0	1	2	2
cellular_organohalogen_metabolic_process	0	1	0	0	0	1	2	2
cellular_polysaccharide_metabolic_process	0	1	0	0	0	1	2	2
channel_activity	0	1	0	0	1	0	2	2
DNA_dependent_ATPase_activity	0	1	0	1	0	0	2	2
DNA_ligase_(NAD+)_activity	0	1	0	0	0	1	2	2
double_strand_break_repair	0	1	0	0	0	1	2	2
endoplasmic_reticulum_membrane_organization	0	1	0	1	0	0	2	2
import_into_cell	0	1	1	0	0	0	2	2
lipoprotein_amino_acid_oxidation	0	1	0	0	0	1	2	2
lipoprotein_localization_to_outer_membrane	0	1	0	0	1	0	2	2
mitochondrial_calcium_ion_transport	0	1	0	0	1	0	2	2
mitochondrial_DNA_metabolic_process	0	1	0	0	0	1	2	2
mitochondrial_membrane_fission	0	1	0	1	0	0	2	2
mutualism	0	1	0	0	1	0	2	2
negative_regulation_of_oxidative_phosphorylation	0	1	1	0	0	0	2	2
organelle_fission	0	1	0	1	0	0	2	2
poly_ADP_D_ribose_binding	0	1	0	0	0	1	2	2
positive_regulation_of_oxidative_phosphorylation	0	1	1	0	0	0	2	2
protein_DNA_complex_assembly	0	1	0	1	0	0	2	2
protein_DNA_complex_disassembly	0	1	0	1	0	0	2	2
protein_DNA_complex_remodeling	0	1	0	1	0	0	2	2
protein_DNA_complex_transport	0	1	0	0	0	1	2	2
pyruvate_oxidation	0	1	0	0	0	1	2	2
receptor_activator_activity	0	1	1	0	0	0	2	2
receptor_activity	0	1	1	0	0	0	2	2
regulation_of_ATP_metabolic_process	0	1	0	0	0	1	2	2
regulation_of_lipoprotein_lipid_oxidation	0	1	1	0	0	0	2	2
regulation_of_oxidative_phosphorylation	0	1	1	0	0	0	2	2
regulation_of_protein_activation_cascade	0	1	0	0	0	1	2	2
signal_release	0	1	0	1	0	0	2	2
T_cell_aggregation	0	1	0	0	1	0	2	2
"2_iron,_2_sulfur_cluster_binding"	0	0	1	0	0	1	2	2
"3_iron,_4_sulfur_cluster_binding"	0	0	1	0	0	1	2	2
"4_iron,_3_sulfur_cluster_binding"	0	0	1	0	0	1	2	2
"4_iron,_4_sulfur_cluster_binding"	0	0	1	0	0	1	2	2
AMP_phosphorylation	0	0	1	1	0	0	2	2
antiviral_response_protein_activity	0	0	1	1	0	0	2	2
B_cell_receptor_signaling_pathway	0	0	1	0	1	0	2	2
cellular_response_to_misfolded_protein	0	0	1	1	0	0	2	2
cellular_response_to_unfolded_protein	0	0	1	1	0	0	2	2
cytosol_to_ER_transport	0	0	1	0	1	0	2	2
elongation_factor_2_kinase_activity	0	0	1	1	0	0	2	2
gluconeogenesis	0	0	1	0	1	0	2	2
inflammatory_cell_apoptotic_process	0	0	1	1	0	0	2	2
iron_sulfur_cluster_assembly	0	0	1	0	0	1	2	2
iron_sulfur_cluster_binding	0	0	1	0	0	1	2	2
iron_sulfur_cluster_transport	0	0	1	0	0	1	2	2
lipid_transport	0	0	1	1	0	0	2	2
negative_regulation_of_CD40_signaling_pathway	0	0	1	0	1	0	2	2
positive_regulation_of_CD40_signaling_pathway	0	0	1	0	1	0	2	2
protein_deacetylation	0	0	1	1	0	0	2	2
protein_degradation_tagging_activity	0	0	1	0	1	0	2	2
protein_exit_from_endoplasmic_reticulum	0	0	1	1	0	0	2	2
protein_folding_in_endoplasmic_reticulum	0	0	1	1	0	0	2	2
protein_galactosylation_in_endoplasmic_reticulum	0	0	1	1	0	0	2	2
protein_glycosylation_in_endoplasmic_reticulum	0	0	1	1	0	0	2	2
protein_localization_to_endoplasmic_reticulum	0	0	1	1	0	0	2	2
regulation_of_BMP_signaling_pathway	0	0	1	0	1	0	2	2
regulation_of_cAMP_mediated_signaling	0	0	1	0	1	0	2	2
regulation_of_CD40_signaling_pathway	0	0	1	0	1	0	2	2
regulation_of_cGMP_mediated_signaling	0	0	1	0	1	0	2	2
regulation_of_decapentaplegic_signaling_pathway	0	0	1	0	1	0	2	2
regulation_of_endocannabinoid_signaling_pathway	0	0	1	0	1	0	2	2
regulation_of_ERBB_signaling_pathway	0	0	1	0	1	0	2	2
regulation_of_Fas_signaling_pathway	0	0	1	0	1	0	2	2
regulation_of_Kit_signaling_pathway	0	0	1	0	1	0	2	2
regulation_of_MDA_5_signaling_pathway	0	0	1	0	1	0	2	2
regulation_of_nodal_signaling_pathway	0	0	1	0	1	0	2	2
regulation_of_Notch_signaling_pathway	0	0	1	0	1	0	2	2
regulation_of_octopamine_signaling_pathway	0	0	1	0	1	0	2	2
regulation_of_prolactin_signaling_pathway	0	0	1	0	1	0	2	2
regulation_of_protein_complex_assembly	0	0	1	0	0	1	2	2
regulation_of_protein_complex_disassembly	0	0	1	0	0	1	2	2
regulation_of_protein_complex_stability	0	0	1	0	0	1	2	2
regulation_of_replicative_cell_aging	0	0	1	1	0	0	2	2
regulation_of_RIG_I_signaling_pathway	0	0	1	0	1	0	2	2
regulation_of_Roundabout_signaling_pathway	0	0	1	0	1	0	2	2
regulation_of_sevenless_signaling_pathway	0	0	1	0	1	0	2	2
regulation_of_smoothened_signaling_pathway	0	0	1	0	1	0	2	2
regulation_of_SREBP_signaling_pathway	0	0	1	0	1	0	2	2
regulation_of_Toll_signaling_pathway	0	0	1	0	1	0	2	2
regulation_of_transport	0	0	1	0	0	1	2	2
regulation_of_tyramine_signaling_pathway	0	0	1	0	1	0	2	2
regulation_of_Wnt_signaling_pathway	0	0	1	0	1	0	2	2
replicative_cell_aging	0	0	1	1	0	0	2	2
response_to_acidic_pH	0	0	1	1	0	0	2	2
